comparison,grid,seed,metric,n_models,kendall_tau_b,kendall_p,spearman_rho,spearman_p
regime_a_vs_cross_context,UK,700,nrmse,5,0.7999999999999999,0.08333333333333333,0.8999999999999998,0.03738607346849874
regime_a_vs_cross_context,UK,700,mse,5,0.6,0.23333333333333334,0.7999999999999999,0.10408803866182788
regime_a_vs_cross_context,UK,700,mae,5,0.7999999999999999,0.08333333333333333,0.8999999999999998,0.03738607346849874
regime_a_vs_cross_context,UK,1000,nrmse,5,-0.39999999999999997,0.48333333333333334,-0.6,0.28475697986529375
regime_a_vs_cross_context,UK,1000,mse,5,-0.39999999999999997,0.48333333333333334,-0.6,0.28475697986529375
regime_a_vs_cross_context,UK,1000,mae,5,-0.6,0.23333333333333334,-0.7,0.1881204043741873
regime_a_vs_ood,IEEE118,0,nrmse,6,-0.2,0.7194444444444444,-0.4285714285714286,0.3965014577259474
regime_a_vs_ood,IEEE118,0,mse,6,-0.2,0.7194444444444444,-0.4285714285714286,0.3965014577259474
regime_a_vs_ood,IEEE118,0,mae,6,-0.4666666666666666,0.2722222222222222,-0.6571428571428573,0.15617492711370237
regime_a_vs_ood,IEEE118,100,nrmse,6,-0.2,0.7194444444444444,-0.3142857142857143,0.5440932944606414
regime_a_vs_ood,IEEE118,100,mse,6,-0.2,0.7194444444444444,-0.3142857142857143,0.5440932944606414
regime_a_vs_ood,IEEE118,100,mae,6,-0.06666666666666665,1.0,-0.08571428571428573,0.8717434402332361
regime_a_vs_ood,IEEE118,300,nrmse,6,0.8666666666666666,0.016666666666666666,0.942857142857143,0.004804664723032055
regime_a_vs_ood,IEEE118,300,mse,6,0.8666666666666666,0.016666666666666666,0.942857142857143,0.004804664723032055
regime_a_vs_ood,IEEE118,300,mae,6,0.3333333333333333,0.46944444444444444,0.4285714285714286,0.3965014577259474
regime_a_vs_ood,IEEE118,700,nrmse,5,-0.19999999999999998,0.8166666666666667,-0.3,0.6238376647810728
regime_a_vs_ood,IEEE118,700,mse,5,-0.19999999999999998,0.8166666666666667,-0.3,0.6238376647810728
regime_a_vs_ood,IEEE118,700,mae,5,-0.19999999999999998,0.8166666666666667,-0.19999999999999998,0.747060078104662
regime_a_vs_ood,IEEE118,1000,nrmse,5,-0.19999999999999998,0.8166666666666667,-0.3,0.6238376647810728
regime_a_vs_ood,IEEE118,1000,mse,5,-0.19999999999999998,0.8166666666666667,-0.3,0.6238376647810728
regime_a_vs_ood,IEEE118,1000,mae,5,0.39999999999999997,0.48333333333333334,0.6,0.28475697986529375
regime_a_vs_ood,IEEE24,0,nrmse,6,-0.06666666666666665,1.0,-0.08571428571428573,0.8717434402332361
regime_a_vs_ood,IEEE24,0,mse,6,-0.06666666666666665,1.0,-0.08571428571428573,0.8717434402332361
regime_a_vs_ood,IEEE24,0,mae,6,-0.06666666666666665,1.0,-0.08571428571428573,0.8717434402332361
regime_a_vs_ood,IEEE24,100,nrmse,6,0.4666666666666666,0.2722222222222222,0.5428571428571429,0.26570262390670557
regime_a_vs_ood,IEEE24,100,mse,6,0.4666666666666666,0.2722222222222222,0.5428571428571429,0.26570262390670557
regime_a_vs_ood,IEEE24,100,mae,6,0.4666666666666666,0.2722222222222222,0.6571428571428573,0.15617492711370237
regime_a_vs_ood,IEEE24,300,nrmse,6,-0.4666666666666666,0.2722222222222222,-0.6,0.20799999999999982
regime_a_vs_ood,IEEE24,300,mse,6,-0.4666666666666666,0.2722222222222222,-0.6,0.20799999999999982
regime_a_vs_ood,IEEE24,300,mae,6,-0.6,0.1361111111111111,-0.6571428571428573,0.15617492711370237
regime_a_vs_ood,IEEE24,700,nrmse,5,0.39999999999999997,0.48333333333333334,0.6,0.28475697986529375
regime_a_vs_ood,IEEE24,700,mse,5,0.39999999999999997,0.48333333333333334,0.6,0.28475697986529375
regime_a_vs_ood,IEEE24,700,mae,5,0.6,0.23333333333333334,0.7,0.1881204043741873
regime_a_vs_ood,IEEE24,1000,nrmse,5,0.19999999999999998,0.8166666666666667,0.3,0.6238376647810728
regime_a_vs_ood,IEEE24,1000,mse,5,0.19999999999999998,0.8166666666666667,0.3,0.6238376647810728
regime_a_vs_ood,IEEE24,1000,mae,5,0.19999999999999998,0.8166666666666667,0.3,0.6238376647810728
regime_a_vs_ood,IEEE39,0,nrmse,6,-0.2,0.7194444444444444,-0.2571428571428572,0.6227871720116618
regime_a_vs_ood,IEEE39,0,mse,6,-0.2,0.7194444444444444,-0.2571428571428572,0.6227871720116618
regime_a_vs_ood,IEEE39,0,mae,6,0.2,0.7194444444444444,0.4285714285714286,0.3965014577259474
regime_a_vs_ood,IEEE39,100,nrmse,6,0.3333333333333333,0.46944444444444444,0.4285714285714286,0.3965014577259474
regime_a_vs_ood,IEEE39,100,mse,6,0.3333333333333333,0.46944444444444444,0.4285714285714286,0.3965014577259474
regime_a_vs_ood,IEEE39,100,mae,6,0.06666666666666665,1.0,0.14285714285714288,0.7871720116618075
regime_a_vs_ood,IEEE39,300,nrmse,6,-0.2,0.7194444444444444,-0.14285714285714288,0.7871720116618075
regime_a_vs_ood,IEEE39,300,mse,6,-0.2,0.7194444444444444,-0.14285714285714288,0.7871720116618075
regime_a_vs_ood,IEEE39,300,mae,6,-0.06666666666666665,1.0,-0.08571428571428573,0.8717434402332361
regime_a_vs_ood,IEEE39,700,nrmse,5,0.39999999999999997,0.48333333333333334,0.39999999999999997,0.5046315754686911
regime_a_vs_ood,IEEE39,700,mse,5,0.39999999999999997,0.48333333333333334,0.39999999999999997,0.5046315754686911
regime_a_vs_ood,IEEE39,700,mae,5,-0.19999999999999998,0.8166666666666667,-0.3,0.6238376647810728
regime_a_vs_ood,IEEE39,1000,nrmse,5,0.19999999999999998,0.8166666666666667,0.3,0.6238376647810728
regime_a_vs_ood,IEEE39,1000,mse,5,0.19999999999999998,0.8166666666666667,0.3,0.6238376647810728
regime_a_vs_ood,IEEE39,1000,mae,5,0.0,1.0,-0.09999999999999999,0.8728885715695383
regime_a_vs_ood,UK,0,nrmse,6,0.06666666666666665,1.0,-0.028571428571428574,0.9571545189504373
regime_a_vs_ood,UK,0,mse,6,0.06666666666666665,1.0,-0.028571428571428574,0.9571545189504373
regime_a_vs_ood,UK,0,mae,6,-0.06666666666666665,1.0,-0.14285714285714288,0.7871720116618075
regime_a_vs_ood,UK,100,nrmse,6,-0.6,0.1361111111111111,-0.6571428571428573,0.15617492711370237
regime_a_vs_ood,UK,100,mse,6,-0.6,0.1361111111111111,-0.6571428571428573,0.15617492711370237
regime_a_vs_ood,UK,100,mae,6,-0.7333333333333333,0.05555555555555555,-0.8285714285714287,0.04156268221574334
regime_a_vs_ood,UK,300,nrmse,6,0.2,0.7194444444444444,0.4285714285714286,0.3965014577259474
regime_a_vs_ood,UK,300,mse,6,0.2,0.7194444444444444,0.4285714285714286,0.3965014577259474
regime_a_vs_ood,UK,300,mae,6,0.3333333333333333,0.46944444444444444,0.48571428571428577,0.3287230320699709
regime_a_vs_ood,UK,700,nrmse,5,-0.6,0.23333333333333334,-0.7,0.1881204043741873
regime_a_vs_ood,UK,700,mse,5,-0.6,0.23333333333333334,-0.7,0.1881204043741873
regime_a_vs_ood,UK,700,mae,5,-0.39999999999999997,0.48333333333333334,-0.49999999999999994,0.39100221895577053
regime_a_vs_ood,UK,1000,nrmse,5,0.19999999999999998,0.8166666666666667,0.3,0.6238376647810728
regime_a_vs_ood,UK,1000,mse,5,0.19999999999999998,0.8166666666666667,0.3,0.6238376647810728
regime_a_vs_ood,UK,1000,mae,5,0.39999999999999997,0.48333333333333334,0.6,0.28475697986529375
